"","date","return","index"
"1",19860228,0.076163658699031,1
"2",19860331,0.0550397622691992,2
"3",19860430,-0.00813059209541822,3
"4",19860530,0.0505695499614831,4
"5",19860630,0.0142386557951169,5
"6",19860731,-0.0599841596273196,6
"7",19860829,0.0639713658111995,7
"8",19860930,-0.0781758833377747,8
"9",19861031,0.0520043514672952,9
"10",19861128,0.0106920417953142,10
"11",19861231,-0.0269286066857785,11
"12",19870130,0.126924601357717,12
"13",19870227,0.0534953651392397,13
"14",19870331,0.0189362250717817,14
"15",19870430,-0.0219838264703876,15
"16",19870529,0.00521710991111529,16
"17",19870630,0.0429547832271316,17
"18",19870731,0.0460788598653493,18
"19",19870831,0.0324966105592401,19
"20",19870930,-0.0173637290339434,20
"21",19871030,-0.234972633940417,21
"22",19871130,-0.0652026922671457,22
"23",19871231,0.0746197803894614,23
"24",19880129,0.0466971439729449,24
"25",19880229,0.0554895030568626,25
"26",19880331,-0.00861992369237579,26
"27",19880429,0.00748174270803236,27
"28",19880531,-0.00196739597544051,28
"29",19880630,0.0527050101821713,29
"30",19880729,-0.00924796108006131,30
"31",19880831,-0.0255581968792937,31
"32",19880930,0.0375821833635017,32
"33",19881031,0.0128977550095633,33
"34",19881130,-0.0189843656338847,34
"35",19881230,0.0223249958910659,35
"36",19890131,0.0633610684947278,36
"37",19890228,-0.0120890442948377,37
"38",19890331,0.0231643085151743,38
"39",19890428,0.0479403197574534,39
"40",19890531,0.0400911283879214,40
"41",19890630,-0.00440803563798817,41
"42",19890731,0.0748345234744725,42
"43",19890831,0.0242960013855965,43
"44",19890929,-0.00218340530566426,44
"45",19891031,-0.0349018900017504,45
"46",19891130,0.0155122427511576,46
"47",19891229,0.0158603938776439,47
"48",19900131,-0.0703496360355151,48
"49",19900228,0.0152357513104336,49
"50",19900330,0.0223843362453868,50
"51",19900430,-0.0339245833116027,51
"52",19900531,0.0882264645462421,52
"53",19900629,-0.0052118820260026,53
"54",19900731,-0.015140672038271,54
"55",19900831,-0.095331211910346,55
"56",19900928,-0.0623212875648868,56
"57",19901031,-0.0186340670064631,57
"58",19901130,0.0704032159397471,58
"59",19901231,0.032635287354703,59
"60",19910131,0.0547948023565072,60
"61",19910228,0.0770783690895643,61
"62",19910328,0.0312400230338525,62
"63",19910430,0.0049199229973695,63
"64",19910531,0.0425278122022904,64
"65",19910628,-0.0460407100632695,65
"66",19910731,0.0461026910584992,66
"67",19910830,0.0284015086923941,67
"68",19910930,-0.00926958978404621,68
